PO No,Forwarder Name,PO Created By,Vendor Code,Vendor Name,Vendor Country Name,Consignee Code,Incoterm Origin,PO Delivery Date,PO Item,Material No,Material Short Text,PO Quantity,Total GR Qty,PO Line Process,PO Line Status
62000126,Kuehne + Nagel A/S,NANXIONNAZ,1900015387,NRS Relief FZCO,Utd.Arab.Emir.,X44906,FCA,2024-06-24,10,S5007311,"Water-cont,LDPE,10l,collapsibl.,w/o logo",38400,38400,LTA,CLOSED
68037503,Kuehne + Nagel A/S,TNIELSEN,1900020581,JSC Kalceks,Latvia,X12004,FCA,2024-07-29,10,S1559355,Magn.sulph.inj 500mg/ml 10ml amp/BOX-10,5000,5000,LTA,CLOSED
68038064,Scan Global Logistics A/S,SHVISWANATHA,1900008236,Fleischhacker GmbH & Co.KG,Germany,X12002,FCA,2024-12-05,10,S5006120,"Stand, vacuum filter support,1-place,SS",15,15,LTA,CLOSED
68037507,,TNIELSEN,1900019765,S Kant Healthcare Ltd.,India,X12001,DAP,2024-08-30,10,S1555690,Metronidazol pdr/o.s.200mg/5ml/BOT-100ml,82000,82000,LTA,CLOSED
68037506,,TNIELSEN,1900012047,Square Pharmaceuticals PLC,Bangladesh,X12001,DAP,2024-09-30,10,S1504003,Cefixime pwd.for sus.100mg/5ml/BOT50ml,20000,19970,LTA,CLOSED
68037505,,TNIELSEN,1900007417,DEMO S.A. Pharmaceutical Industry,Greece,X12004,DAP,2024-10-11,10,S1564320,Sod.chloride inj.0.9% 10ml/BOX-5,10000,10200,LTA,CLOSED
68037504,,TNIELSEN,1900007417,DEMO S.A. Pharmaceutical Industry,Greece,X12001,DAP,2024-09-20,10,S1585000,Calc.glucon.inj 100mg/ml 10ml amp/BOX-10,4000,4050,LTA,CLOSED
68037501,,TNIELSEN,1900001026,B Braun Melsungen AG,Germany,X12004,DAP,2024-08-19,10,S1555206,Lidocaine inj 1% 20ml ampl/BOX-20,8000,7970,LTA,CLOSED
68037524,,AWEIS,1900020831,Wuyi Anbo Medical Equipment Manufac,China,X12001,DAP,2024-08-02,10,S0845186,"Stand,infusion,double hook,on castors",1056,1056,LTA,CLOSED
68037516,,MKAZEMI,1900007784,SM Pharmaceuticals SDN. BHD,Malaysia,X12001,DAP,2024-09-25,10,S1555964,Paracetamol 500mg tabs/PAC-10x10,500000,500000,LTA,CLOSED
68037508,,MKAZEMI,1900014773,MEDOPHARM,India,X12001,DAP,2024-10-09,10,S1555653,Metronidazole 250mg tabs PAC/10x10,40000,40000,LTA,CLOSED
68037508,,MKAZEMI,1900014773,MEDOPHARM,India,X12002,DAP,2024-08-07,20,S1555653,Metronidazole 250mg tabs PAC/10x10,10000,10000,LTA,CLOSED
68037544,,MSERGIO,1900011349,KD Medical GmbH Hospital Products,Germany,X12002,DAP,2024-05-31,10,S0782405,"Syringe,disp,5ml,ster/BOX-100",5120,5120,LTA,CLOSED
68037544,,MSERGIO,1900011349,KD Medical GmbH Hospital Products,Germany,X12002,DAP,2024-06-10,20,S0782205,"Syringe,disp,2ml,ster/BOX-100",4000,4000,LTA,CLOSED
68037544,,MSERGIO,1900011349,KD Medical GmbH Hospital Products,Germany,X12002,DAP,2024-06-24,30,S0782413,"Syringe,disp,10ml,ster/BOX-100",3360,3360,LTA,CLOSED
68037544,,MSERGIO,1900011349,KD Medical GmbH Hospital Products,Germany,X12002,DAP,2024-06-10,40,S0782425,"Syringe,disp,20ml,ster/BOX-100",3008,3008,LTA,CLOSED
68037536,,MSERGIO,1900005906,Hindustan Syringes & Medical,India,X12001,DAP,2024-07-28,10,S0782371,"Safety box f.used syrg/ndl5L,HMD/BOX-25",3000,3000,LTA,CLOSED
