Order,Destination,Ship to party,Pack date,No of kits/sets,Priority,Incomplete,Shipping point,Background,Foreground,Sampling,Release,Prepick,Bagging,Miniload,SL/Bulk,Long line A,Long line B,QA label,Virtual pack,Haz. Material
50182952,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182954,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182955,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,Yes
50182953,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182957,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182959,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182956,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182961,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182958,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182960,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182962,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182963,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182964,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182965,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182966,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182947,Yemen,X49239,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182946,Yemen,X49205,31.03.2025,--,5,No,1000,,C,,C,,,,C,,,,C,No
50182948,Yemen,X49239,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
100034985,Denmark,X99994,03.04.2025,36,5,No,1999,,C,,C,C,,,A,,,,,No
100034951,Denmark,X99994,03.04.2025,22,5,No,1999,,C,,C,,,,A,,,,,No
100032406,Denmark,X99994,20.03.2025,4,5,No,1999,C,,,C,C,,,A,,,,,No
50182985,Mali,X27605,31.03.2025,--,5,No,1000,C,,,C,,,,,,,,C,No
50182995,Mali,X27613,01.04.2025,--,5,No,1000,C,,,C,,,,C,,,,,No
50182977,Burkina Faso,X45909,22.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,C,Yes
50182982,Syrian Arab Rep,X41428,31.03.2025,--,5,No,1000,C,,,C,,,,,,,,C,No
50182980,Syrian Arab Rep,X41428,31.03.2025,--,5,No,1000,C,,,C,,,,,,,,C,No
50182984,Syrian Arab Rep,X41428,31.03.2025,--,5,No,1000,C,,,C,,,,C,,,,,No
100034834,Denmark,X99994,03.04.2025,58,5,No,1999,,C,,C,C,,A,,,,,,No
100035125,Denmark,X99994,03.04.2025,100,5,No,1999,A,A,,,,,,,,,,,No
50183019,Sudan (the),X40202,02.04.2025,--,5,No,1000,C,,,C,,,,,,,,C,No
50183008,Sudan (the),X40202,02.04.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
100035073,Denmark,X99994,03.04.2025,574,5,No,1999,A,A,,,,,,,,,,,No
100035074,Denmark,X99994,03.04.2025,574,5,No,1999,C,,,C,C,,B,,,,,,No
100035160,Denmark,X99994,10.04.2025,4500,5,No,1999,C,,,C,C,,,A,,,,,No
50183039,Sierra Leone,X390H0,02.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,,No
50183075,Congo (the),X33801,06.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,C,No
100035031,Denmark,X99994,27.03.2025,780,5,Yes,1999,A,A,,,,,,,,,,,No
100035032,Denmark,X99994,27.03.2025,871,5,Yes,1999,A,A,,,,,,,,,,,No
100034559,Denmark,X99994,03.04.2025,800,5,No,1999,A,A,,,,,,,,,,,No
50183108,Burundi,X06101,07.04.2025,--,5,No,1000,C,,,C,,,,A,,,,C,No
50183114,Burundi,X06101,06.04.2025,--,5,No,1000,C,,,C,,,,A,,,,C,No
50183142,Niger (the),X31811,06.04.2025,--,5,No,1000,C,,,C,,,,A,,,,C,No
50183143,Niger (the),X31811,06.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,,No
50183153,Benin,X11702,07.04.2025,--,5,No,1000,C,,,C,,,,,,,,C,No
50183148,Niger (the),X31811,07.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,C,No
50183154,Libya,X25802,29.06.2025,--,5,No,1000,C,,,C,C,,,A,,,,C,Yes
50183155,Libya,X25802,29.06.2025,--,5,No,1000,C,,,C,C,,,A,,,,,No
50183166,Somalia,X392E5,08.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,,No
50183164,Pakistan,X33027,07.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,C,Yes
50183170,Gambia,X15612,08.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,C,No
100034779,Denmark,X99994,03.04.2025,20,5,No,1999,,C,,C,C,,,,A,A,,,No
50183173,Madagascar,X267J5,08.04.2025,--,5,No,1000,C,,,C,C,,,A,,,,,Yes
50183172,Solomon Islands,X63107,08.04.2025,--,5,No,1000,C,,,C,,,,C,,,,,Yes
100034521,Denmark,X99994,27.03.2025,800,5,No,1999,C,,,C,B,,,A,,,,,No
280324 - S9016023,--,--,,24,5,No,--,C,,,C,,,,,A,,,,Yes
100034600,Denmark,X99994,03.04.2025,25,5,No,1999,C,,,C,A,,,,,,,A,No
50183182,Mozambique,X689J8,27.04.2025,--,5,No,1000,C,,,C,A,,,A,,,,C,No
50183181,Afghanistan,X00620,02.04.2025,--,5,No,1000,C,,,C,A,,,A,,,,C,No
50183183,Afghanistan,X00620,02.04.2025,--,5,No,1000,C,,,C,A,,,A,,,,,No
50183186,Afghanistan,X00620,02.04.2025,--,5,No,1000,C,,,C,A,,,A,,,,,Yes
50183187,Sudan (the),X402L0,02.04.2025,--,5,No,1000,C,,,C,,,,,,,,C,Yes
50183185,Afghanistan,X00620,02.04.2025,--,5,No,1000,C,,,C,A,,,A,,,,C,No
50183188,Sudan (the),X402L0,02.04.2025,--,5,No,1000,C,,,C,,,,,,,,C,Yes
50183255,Gambia,X15611,09.04.2025,--,5,No,1000,C,,,C,A,,,A,,,,,No
50183254,Malawi,X26905,09.04.2025,--,5,No,1000,C,,,C,,,,A,,,,C,Yes
50183256,Gambia,X15611,09.04.2025,--,5,No,1000,C,,,C,A,,,A,,,,,No
100033962,Denmark,X99994,03.04.2025,976,5,No,1999,A,A,,,,,,,,,,,No
