Material Number,Description,Article Type,Batch Managed,Plant,Unit of Measure,Multi-Part,Kit parrent,KIT Routing,Full Pallet Qty,Weight,Weight UOM,Volume,Volume UOM,Shelf life allowed,Storage Strategy,Batch Class,Packing Material,Packing material Volume,Less Than Count Percentage,Temperature cond.,Hazardous Material Number
S9999865,"Subkit 3/3 Sudan Juba, PHCU kit",Z02,Yes,1000,EA,No,S9906715,SHORT_LINE,Yes,23.884,KGM,0.07,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999894,Part 4/7 Diarrhoeal kit,Z02,Yes,1000,EA,No,S9906730,SHORT_LINE,Yes,22.0,KGM,0.06,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999897,Part 7/7 Diarrhoeal kit,Z02,Yes,1000,EA,No,--,SHORT_LINE,Yes,143.957,KGM,729.097,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S9999893,Part 3/7 Diarrhoeal kit,Z02,Yes,1000,EA,No,S9906730,SHORT_LINE,Yes,23.0,KGM,0.06,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S0782305,"Syringe,RUP, 10ml,w/fixed ndl/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,No,0.92,KGM,8.4,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0845003,"Resuscitator,hand-oper.,neonate,set",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.757,KGM,9.458,DMQ,--,HBW,--,No,--,10,--,--
S9906721,"DRC Regional Hospital kit 2013,version1",Z02,Yes,1000,EA,Yes,--,VIRTUAL_PACKING,No,50.0,KGM,0.32,MTQ,425,HBW,MEDICAL,No,--,10,--,--
S1505042,Amoxicillin 125mg disp.tabs/PAC-100,Z01,Yes,1000,PAC,No,--,SHORT_LINE,Yes,0.096,KGM,0.581,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S0782306,"Syringe,RUP, 5ml,w/fixed ndl/BOX-100",Z01,Yes,1000,BOX,No,--,SHORT_LINE,Yes,0.833,KGM,6.2,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S1400578,Ritonavir 100mg tabs/PAC-30 pb,Z01,Yes,1000,EA,No,--,SHORT_LINE,No,0.085,KGM,0.36,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S0845004,"Resuscitator,hand-oper.,child,set",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.73,KGM,5.763,DMQ,--,HBW,--,No,--,10,--,--
S0845005,"Resuscitator,hand-oper.,adult,set",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.955,KGM,7.925,DMQ,--,HBW,--,No,--,10,--,--
S9999855,"bagging for Zimbabwe Bulk ,PHC 2013",Z02,Yes,1000,EA,No,--,BAGGING_LINE,No,0.064,KGM,0.644,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9906775,"Somalia,PHU kit-medicines,version 2013",Z02,Yes,1000,EA,No,--,LONG_LINE,Yes,149.965,KGM,0.718,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9906785,"Somalia,HC kit-equipment,version 2013",Z02,No,1000,EA,Yes,--,VIRTUAL_PACKING,No,32.09,KGM,0.24,MTQ,--,HBW,--,No,--,10,--,--
S9906783,"Somalia,HC kit-medicines,version 2013",Z02,Yes,1000,EA,Yes,--,VIRTUAL_PACKING,No,236.0,KGM,1.595,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9906777,"Somalia,PHU kit-equipment,version 2013",Z02,No,1000,EA,Yes,--,VIRTUAL_PACKING,No,28.0,KGM,0.207,MTQ,--,HBW,--,No,--,10,--,--
S9999859,"Bag 3/3 Surg.inst.,abdominal S9910000",Z02,No,1000,EA,No,--,BAGGING_LINE,No,0.5,KGM,2.25,DMQ,--,HBW,--,No,--,10,--,--
S0746706,"Laryngoscope,neonate,set",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.775,KGM,6.107,DMQ,--,HBW,--,No,--,10,--,--
S9999858,"Bag 2/3 Surg.inst.,abdominal S9910000",Z02,No,1000,EA,No,--,BAGGING_LINE,No,0.5,KGM,2.25,DMQ,--,HBW,--,No,--,10,--,--
S9999850,DRC Regional Hospital Kit 2/2,Z02,Yes,1000,EA,No,S9906721,LONG_LINE,Yes,31.479,KGM,0.17,MTQ,425,HBW,MEDICAL,No,--,10,Z1,--
S9906715.1,"Sudan Juba, PHCU kit",Z02,Yes,1000,EA,No,--,VIRTUAL_PACKING,Yes,37.0,KGM,0.192,MTQ,240,--,PHARMACEUTICALS,No,--,10,--,--
S9906715.2,"Sudan Juba, PHCU kit",Z02,Yes,1000,EA,No,--,VIRTUAL_PACKING,Yes,23.0,KGM,0.079,MTQ,240,--,PHARMACEUTICALS,No,--,10,--,--
S9906715.3,"Sudan Juba, PHCU kit",Z02,Yes,1000,EA,No,--,VIRTUAL_PACKING,Yes,26.425,KGM,0.07,MTQ,240,--,PHARMACEUTICALS,No,--,10,--,--
S9999849,DRC Regional Hospital Kit 1/2,Z02,Yes,1000,EA,No,S9906721,LONG_LINE,Yes,21.0,KGM,0.16,MTQ,425,HBW,MEDICAL,No,--,10,Z1,--
S9999795,Prepack 2/4 DPRK EM kit 2014,Z02,Yes,1000,EA,No,--,MINILOAD,No,6.8,KGM,9.591,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999794,Prepack 1/4 DPRK EM kit 2014,Z02,Yes,1000,EA,No,--,MINILOAD,No,3.348,KGM,19.01,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9207180,"Hi-Vis Jacket, Pilot model size S",Z04,No,1000,EA,No,--,SHORT_LINE,No,300.0,GRM,0.043,DMQ,--,HBW,--,Yes,--,--,--,--
